text,language
Nahitaji msaada wako boss,Swahili
Ninakupenda sana,Swahili
man Niko soko leo boss,Swahili
bro He is my friend,English
hey Tutakutana kesho,Swahili
hey He is my friend boss,English
bro Ndi khwitsa eshikulu,Luhya
man Khukhala bulayi,Luhya
bro Wacha tuende base,Sheng
hey Nakhubona khulayi,Luhya
hey Wabula shani man,Luhya
Leo ni siku nzuri,Swahili
hey I am going home man,English
hey The weather is nice today,English
Ninakupenda sana man,Swahili
man Niko rada leo,Sheng
Uko aje buda bro,Sheng
bro Khukhala bulayi man,Luhya
Wabula shani man,Luhya
bro Khukhala bulayi,Luhya
man Niko rada leo,Sheng
bro Wabula shani,Luhya
yo Uko aje buda boss,Sheng
man Naenda nyumbani bro,Swahili
hey Nimechill na boys,Sheng
He is my friend man,English
Naenda nyumbani,Swahili
bro I am going home bro,English
Hii manzi ni fiti bro,Sheng
man I love programming,English
hey Uko aje buda bro,Sheng
hey Hii life ni tricky,Sheng
bro Tuko street vibaya,Sheng
Uko aje buda boss,Sheng
yo Niko rada leo,Sheng
Let us meet tomorrow bro,English
yo He is my friend man,English
hey Let us meet tomorrow man,English
yo She likes reading books,English
yo I am going home bro,English
Basi manze relax boss,Sheng
Khukhala bulayi,Luhya
Olaba otya,Luhya
Ndi khwitsa eshikulu man,Luhya
yo Niko rada leo boss,Sheng
bro Habari yako rafiki bro,Swahili
bro Hii life ni tricky,Sheng
Habari yako rafiki,Swahili
man Nimechoka leo bro,Swahili
hey The weather is nice today bro,English
Niko rada leo,Sheng
bro Nahitaji msaada wako boss,Swahili
man Olaba otya bro,Luhya
She likes reading books,English
yo Leo ni siku nzuri bro,Swahili
Leo ni siku nzuri bro,Swahili
yo Nahitaji msaada wako,Swahili
yo Wacha tuende base bro,Sheng
yo Ndi khwitsa eshikulu bro,Luhya
bro Niko soko leo man,Swahili
man Wabula shani,Luhya
bro Habari yako rafiki man,Swahili
man Tutakutana kesho man,Swahili
yo Hii life ni tricky,Sheng
yo Uko aje buda,Sheng
bro We are learning NLP,English
hey Wacha tuende base,Sheng
Wacha tuende base bro,Sheng
Nakhubona khulayi,Luhya
I love programming boss,English
hey She likes reading books,English
hey He is my friend man,English
hey She likes reading books,English
She likes reading books boss,English
hey The weather is nice today,English
yo I love programming boss,English
yo This is a good day,English
man Nimechill na boys bro,Sheng
bro Tutakutana kesho man,Swahili
Basi manze relax,Sheng
hey Khukhala bulayi bro,Luhya
Niko soko leo bro,Swahili
bro Leo ni siku nzuri,Swahili
man Habari yako rafiki bro,Swahili
yo Niko soko leo man,Swahili
bro She likes reading books,English
hey This is a good day bro,English
yo We are learning NLP,English
The weather is nice today bro,English
yo Ndi khwitsa eshikulu,Luhya
hey Habari yako rafiki man,Swahili
hey Leo ni siku nzuri boss,Swahili
yo I love programming,English
Olaba otya,Luhya
man She likes reading books bro,English
man Basi manze relax bro,Sheng
Nimechoka leo boss,Swahili
bro Habari yako rafiki,Swahili
We are learning NLP man,English
hey Uko aje buda bro,Sheng
bro Hii manzi ni fiti man,Sheng
hey Nakhubona khulayi,Luhya
bro Wacha tuende base,Sheng
Tuko street vibaya,Sheng
hey Naenda nyumbani,Swahili
yo The weather is nice today boss,English
yo Habari yako rafiki man,Swahili
bro Niko rada leo,Sheng
hey Ninakupenda sana bro,Swahili
bro Hii manzi ni fiti boss,Sheng
Khukhala bulayi bro,Luhya
hey Naenda nyumbani,Swahili
hey Nimechill na boys bro,Sheng
man Wabula shani,Luhya
This is a good day boss,English
yo Olaba otya boss,Luhya
yo This is a good day man,English
bro This is a good day man,English
hey Nimechoka leo boss,Swahili
Habari yako rafiki,Swahili
hey Olaba otya,Luhya
hey Nimechill na boys bro,Sheng
yo Naenda nyumbani,Swahili
I am going home man,English
yo Nimechoka leo bro,Swahili
bro The weather is nice today,English
yo Tuko street vibaya boss,Sheng
hey Wacha tuende base boss,Sheng
yo Ndi khwitsa eshikulu boss,Luhya
yo Leo ni siku nzuri,Swahili
I love programming man,English
man Nimechill na boys man,Sheng
hey He is my friend bro,English
bro Basi manze relax,Sheng
yo This is a good day boss,English
Naenda nyumbani man,Swahili
bro Hii life ni tricky bro,Sheng
man The weather is nice today boss,English
man Nimechill na boys,Sheng
bro Ndi khwitsa eshikulu,Luhya
yo Nahitaji msaada wako,Swahili
yo Ndi khwitsa eshikulu boss,Luhya
yo Nakhubona khulayi,Luhya
bro Ndi khwitsa eshikulu,Luhya
yo Khukhala bulayi,Luhya
yo Tutakutana kesho,Swahili
yo Nakhubona khulayi boss,Luhya
This is a good day bro,English
man Nahitaji msaada wako,Swahili
yo He is my friend,English
bro Uko aje buda bro,Sheng
bro She likes reading books,English
Hii life ni tricky,Sheng
The weather is nice today,English
Khukhala bulayi man,Luhya
Olaba otya man,Luhya
Wabula shani man,Luhya
hey Nimechill na boys man,Sheng
Naenda nyumbani,Swahili
man Khukhala bulayi man,Luhya
hey The weather is nice today bro,English
hey Khukhala bulayi,Luhya
bro Nahitaji msaada wako man,Swahili
hey Ndi khwitsa eshikulu,Luhya
hey Tutakutana kesho boss,Swahili
bro I love programming bro,English
Khukhala bulayi,Luhya
hey Tuko street vibaya man,Sheng
yo Niko soko leo man,Swahili
hey Niko soko leo boss,Swahili
hey Nimechill na boys,Sheng
yo Nakhubona khulayi man,Luhya
bro We are learning NLP,English
man He is my friend bro,English
hey Basi manze relax boss,Sheng
man Olaba otya man,Luhya
man Let us meet tomorrow man,English
hey I love programming man,English
hey Nakhubona khulayi bro,Luhya
hey Uko aje buda,Sheng
bro Niko rada leo bro,Sheng
Basi manze relax,Sheng
Khukhala bulayi man,Luhya
yo Nimechoka leo,Swahili
man This is a good day,English
hey We are learning NLP,English
bro Khukhala bulayi man,Luhya
Khuli omundu mulayi man,Luhya
bro Niko soko leo,Swahili
yo Khukhala bulayi,Luhya
bro Nahitaji msaada wako,Swahili
bro Khukhala bulayi man,Luhya
Ninakupenda sana man,Swahili
bro Uko aje buda bro,Sheng
man Tutakutana kesho man,Swahili
bro Nimechill na boys bro,Sheng
man Leo ni siku nzuri bro,Swahili
hey He is my friend,English
bro Olaba otya,Luhya
bro Uko aje buda man,Sheng
hey Hii manzi ni fiti boss,Sheng
hey Uko aje buda bro,Sheng
yo Nakhubona khulayi,Luhya
man Let us meet tomorrow,English
Nahitaji msaada wako boss,Swahili
man Niko soko leo bro,Swahili
bro We are learning NLP bro,English
hey Nimechoka leo,Swahili
bro Nahitaji msaada wako bro,Swahili
yo I am going home boss,English
man Nakhubona khulayi,Luhya
Nakhubona khulayi boss,Luhya
man Hii life ni tricky boss,Sheng
hey Nimechill na boys,Sheng
hey Nimechill na boys bro,Sheng
Tutakutana kesho,Swahili
bro Nimechill na boys,Sheng
This is a good day man,English
yo Leo ni siku nzuri bro,Swahili
man Naenda nyumbani boss,Swahili
bro Ninakupenda sana bro,Swahili
Nimechill na boys man,Sheng
yo Tuko street vibaya,Sheng
Khuli omundu mulayi boss,Luhya
man She likes reading books boss,English
Hii manzi ni fiti,Sheng
hey Nimechoka leo bro,Swahili
man Let us meet tomorrow,English
man Khuli omundu mulayi man,Luhya
bro Nakhubona khulayi,Luhya
hey Basi manze relax man,Sheng
Wabula shani,Luhya
yo Uko aje buda man,Sheng
yo Khuli omundu mulayi boss,Luhya
Olaba otya bro,Luhya
Wabula shani man,Luhya
bro Khukhala bulayi boss,Luhya
bro Hii life ni tricky bro,Sheng
man Khukhala bulayi,Luhya
yo I am going home bro,English
hey Ndi khwitsa eshikulu man,Luhya
bro Ndi khwitsa eshikulu boss,Luhya
Nimechill na boys boss,Sheng
hey Nakhubona khulayi,Luhya
man Habari yako rafiki,Swahili
hey Olaba otya,Luhya
yo Wabula shani,Luhya
man I love programming boss,English
bro Let us meet tomorrow boss,English
bro Ninakupenda sana man,Swahili
bro Nahitaji msaada wako boss,Swahili
man I am going home,English
yo Nimechoka leo,Swahili
bro Ndi khwitsa eshikulu,Luhya
man We are learning NLP bro,English
hey Naenda nyumbani,Swahili
hey Ndi khwitsa eshikulu,Luhya
hey Khuli omundu mulayi,Luhya
bro Uko aje buda,Sheng
bro Nimechill na boys bro,Sheng
hey We are learning NLP bro,English
She likes reading books,English
man The weather is nice today bro,English
Hii life ni tricky boss,Sheng
man Nimechoka leo man,Swahili
hey Tuko street vibaya,Sheng
Hii manzi ni fiti man,Sheng
man Olaba otya boss,Luhya
She likes reading books,English
yo Ndi khwitsa eshikulu bro,Luhya
yo This is a good day man,English
man He is my friend man,English
man This is a good day bro,English
Nimechoka leo,Swahili
yo Nimechill na boys,Sheng
hey This is a good day boss,English
bro I am going home man,English
yo The weather is nice today bro,English
man Uko aje buda,Sheng
man Hii life ni tricky man,Sheng
man Niko soko leo boss,Swahili
yo Nakhubona khulayi man,Luhya
This is a good day bro,English
yo Let us meet tomorrow boss,English
yo Naenda nyumbani man,Swahili
man He is my friend man,English
yo Khukhala bulayi,Luhya
hey Ndi khwitsa eshikulu boss,Luhya
hey Khuli omundu mulayi boss,Luhya
This is a good day,English
hey She likes reading books boss,English
yo Nimechoka leo,Swahili
Nakhubona khulayi,Luhya
bro We are learning NLP boss,English
This is a good day,English
yo Naenda nyumbani bro,Swahili
man Niko soko leo man,Swahili
hey Wacha tuende base boss,Sheng
yo This is a good day boss,English
yo Tuko street vibaya,Sheng
yo She likes reading books bro,English
yo Wabula shani,Luhya
yo Leo ni siku nzuri,Swahili
Uko aje buda man,Sheng
hey Nimechill na boys boss,Sheng
bro She likes reading books boss,English
bro Tuko street vibaya,Sheng
man Khukhala bulayi man,Luhya
yo Nimechill na boys man,Sheng
bro Khukhala bulayi man,Luhya
bro Tutakutana kesho bro,Swahili
man Let us meet tomorrow,English
man Hii life ni tricky,Sheng
bro Wacha tuende base,Sheng
hey The weather is nice today man,English
man He is my friend man,English
man Tuko street vibaya,Sheng
man Nimechoka leo,Swahili
man Niko soko leo bro,Swahili
yo Nakhubona khulayi bro,Luhya
yo Uko aje buda,Sheng
hey Uko aje buda bro,Sheng
bro Tuko street vibaya,Sheng
hey Habari yako rafiki,Swahili
hey Ndi khwitsa eshikulu boss,Luhya
We are learning NLP bro,English
hey Khuli omundu mulayi,Luhya
Ndi khwitsa eshikulu boss,Luhya
hey Naenda nyumbani,Swahili
hey Nimechill na boys boss,Sheng
yo I am going home,English
hey He is my friend boss,English
man Hii manzi ni fiti bro,Sheng
bro Khukhala bulayi bro,Luhya
man Khuli omundu mulayi bro,Luhya
bro Hii life ni tricky man,Sheng
bro Leo ni siku nzuri man,Swahili
yo Ndi khwitsa eshikulu,Luhya
bro Uko aje buda,Sheng
Nakhubona khulayi,Luhya
yo Olaba otya man,Luhya
hey Habari yako rafiki,Swahili
man We are learning NLP bro,English
Tuko street vibaya bro,Sheng
man Hii manzi ni fiti man,Sheng
bro Naenda nyumbani bro,Swahili
yo Leo ni siku nzuri boss,Swahili
yo Tutakutana kesho,Swahili
hey Olaba otya man,Luhya
man Khukhala bulayi bro,Luhya
man Tuko street vibaya man,Sheng
bro Nimechill na boys man,Sheng
Tutakutana kesho,Swahili
yo Niko soko leo boss,Swahili
hey Nahitaji msaada wako boss,Swahili
man Nakhubona khulayi bro,Luhya
bro Wabula shani bro,Luhya
hey Olaba otya,Luhya
man Nakhubona khulayi boss,Luhya
bro Khukhala bulayi,Luhya
Tutakutana kesho boss,Swahili
She likes reading books,English
bro Basi manze relax bro,Sheng
man Hii life ni tricky man,Sheng
Hii life ni tricky,Sheng
hey Hii life ni tricky boss,Sheng
Niko soko leo,Swahili
hey Habari yako rafiki bro,Swahili
Khuli omundu mulayi boss,Luhya
hey I am going home,English
hey Nimechoka leo man,Swahili
man Ndi khwitsa eshikulu,Luhya
yo Niko rada leo bro,Sheng
man Niko rada leo man,Sheng
man Khuli omundu mulayi bro,Luhya
Ninakupenda sana boss,Swahili
Let us meet tomorrow,English
yo He is my friend,English
man She likes reading books man,English
Nimechoka leo man,Swahili
yo Let us meet tomorrow man,English
yo Let us meet tomorrow boss,English
man Basi manze relax bro,Sheng
bro Olaba otya bro,Luhya
bro Let us meet tomorrow bro,English
Tutakutana kesho boss,Swahili
yo Hii manzi ni fiti,Sheng
yo I love programming,English
bro Khuli omundu mulayi boss,Luhya
Habari yako rafiki,Swahili
bro Olaba otya boss,Luhya
yo He is my friend man,English
Leo ni siku nzuri,Swahili
hey This is a good day man,English
bro I am going home boss,English
Let us meet tomorrow boss,English
Tutakutana kesho bro,Swahili
hey Tuko street vibaya boss,Sheng
Khuli omundu mulayi,Luhya
He is my friend bro,English
yo Khuli omundu mulayi,Luhya
man Leo ni siku nzuri man,Swahili
man Wacha tuende base boss,Sheng
yo We are learning NLP man,English
bro Tuko street vibaya bro,Sheng
hey Hii life ni tricky bro,Sheng
man I love programming,English
hey Wabula shani man,Luhya
Wabula shani bro,Luhya
bro Khuli omundu mulayi,Luhya
hey I am going home,English
bro Nimechill na boys bro,Sheng
man Let us meet tomorrow,English
yo Khuli omundu mulayi boss,Luhya
bro Wabula shani,Luhya
man He is my friend bro,English
bro Wabula shani boss,Luhya
yo Nahitaji msaada wako bro,Swahili
man Ninakupenda sana,Swahili
man Hii life ni tricky bro,Sheng
Naenda nyumbani,Swahili
bro Nimechill na boys,Sheng
bro Nakhubona khulayi man,Luhya
I am going home man,English
hey Wabula shani,Luhya
yo Hii manzi ni fiti bro,Sheng
man This is a good day bro,English
hey Nimechoka leo man,Swahili
bro Nimechoka leo,Swahili
man Let us meet tomorrow bro,English
bro Ndi khwitsa eshikulu man,Luhya
hey I love programming,English
man I am going home boss,English
bro I am going home man,English
bro We are learning NLP man,English
man Ndi khwitsa eshikulu bro,Luhya
yo Leo ni siku nzuri,Swahili
Basi manze relax,Sheng
yo Khukhala bulayi,Luhya
man Ndi khwitsa eshikulu man,Luhya
yo Niko rada leo,Sheng
bro Niko rada leo,Sheng
hey Basi manze relax boss,Sheng
man She likes reading books,English
hey Leo ni siku nzuri,Swahili
man Leo ni siku nzuri bro,Swahili
hey The weather is nice today,English
yo Niko rada leo,Sheng
hey Naenda nyumbani,Swahili
Habari yako rafiki,Swahili
bro We are learning NLP,English
hey Habari yako rafiki boss,Swahili
man Leo ni siku nzuri,Swahili
man Wacha tuende base,Sheng
yo Habari yako rafiki,Swahili
man Wabula shani,Luhya
yo Ndi khwitsa eshikulu,Luhya
She likes reading books bro,English
We are learning NLP bro,English
hey Let us meet tomorrow man,English
yo Nimechoka leo boss,Swahili
hey I am going home bro,English
bro Tutakutana kesho,Swahili
yo Nakhubona khulayi boss,Luhya
man Ninakupenda sana bro,Swahili
bro I love programming,English
yo Khukhala bulayi boss,Luhya
man Hii life ni tricky man,Sheng
man Wacha tuende base bro,Sheng
man Naenda nyumbani boss,Swahili
yo Naenda nyumbani,Swahili
man Nimechoka leo,Swahili
hey Leo ni siku nzuri bro,Swahili
hey Olaba otya man,Luhya
hey The weather is nice today,English
yo Tutakutana kesho man,Swahili
hey Leo ni siku nzuri bro,Swahili
man Ninakupenda sana,Swahili
bro The weather is nice today bro,English
Khuli omundu mulayi boss,Luhya
We are learning NLP,English
hey She likes reading books bro,English
Uko aje buda boss,Sheng
man Ninakupenda sana bro,Swahili
yo Tuko street vibaya,Sheng
Niko rada leo,Sheng
bro Niko soko leo,Swahili
bro Tuko street vibaya bro,Sheng
man Naenda nyumbani bro,Swahili
hey Nakhubona khulayi boss,Luhya
bro Niko soko leo bro,Swahili
man Niko soko leo man,Swahili
man Khuli omundu mulayi,Luhya
man The weather is nice today,English
yo I am going home bro,English
bro We are learning NLP,English
Khukhala bulayi bro,Luhya
man He is my friend,English
yo She likes reading books,English
yo Nakhubona khulayi man,Luhya
man Naenda nyumbani,Swahili
Hii life ni tricky bro,Sheng
I am going home boss,English
Leo ni siku nzuri bro,Swahili
yo Nimechill na boys,Sheng
Niko soko leo,Swahili
man Habari yako rafiki boss,Swahili
bro Hii manzi ni fiti,Sheng
bro Nahitaji msaada wako man,Swahili
bro Wabula shani bro,Luhya
man Khuli omundu mulayi,Luhya
hey We are learning NLP,English
bro Nahitaji msaada wako bro,Swahili
hey Niko rada leo boss,Sheng
man Nimechoka leo man,Swahili
yo Hii life ni tricky boss,Sheng
hey Let us meet tomorrow man,English
man He is my friend boss,English
bro The weather is nice today,English
yo Nimechill na boys bro,Sheng
bro Wabula shani bro,Luhya
hey Khukhala bulayi,Luhya
yo Hii manzi ni fiti bro,Sheng
bro Nimechoka leo bro,Swahili
man Wacha tuende base,Sheng
hey I am going home,English
bro Nimechoka leo,Swahili
bro Tutakutana kesho,Swahili
Wacha tuende base bro,Sheng
I am going home boss,English
yo Basi manze relax man,Sheng
man This is a good day bro,English
yo Khukhala bulayi man,Luhya
Ndi khwitsa eshikulu,Luhya
yo Ndi khwitsa eshikulu bro,Luhya
man Khukhala bulayi,Luhya
man Olaba otya man,Luhya
bro The weather is nice today,English
yo Tuko street vibaya,Sheng
hey Wacha tuende base,Sheng
bro Wacha tuende base,Sheng
hey Nimechill na boys,Sheng
hey Nimechill na boys,Sheng
bro This is a good day,English
Ninakupenda sana bro,Swahili
bro Niko soko leo,Swahili
bro Habari yako rafiki boss,Swahili
bro Nakhubona khulayi,Luhya
Wabula shani bro,Luhya
man Nimechill na boys bro,Sheng
yo Nahitaji msaada wako man,Swahili
bro She likes reading books,English
bro Olaba otya bro,Luhya
bro Nakhubona khulayi man,Luhya
Nimechoka leo man,Swahili
man Tuko street vibaya boss,Sheng
man Let us meet tomorrow man,English
hey Khuli omundu mulayi boss,Luhya
hey He is my friend,English
This is a good day man,English
Basi manze relax,Sheng
man Let us meet tomorrow,English
hey Wabula shani bro,Luhya
hey Nahitaji msaada wako man,Swahili
yo Olaba otya man,Luhya
Nakhubona khulayi bro,Luhya
man She likes reading books man,English
yo Hii life ni tricky man,Sheng
man I love programming man,English
man Tuko street vibaya man,Sheng
yo She likes reading books,English
bro Nahitaji msaada wako man,Swahili
Naenda nyumbani,Swahili
bro Naenda nyumbani,Swahili
man Ninakupenda sana,Swahili
yo Nahitaji msaada wako,Swahili
yo Uko aje buda man,Sheng
Habari yako rafiki,Swahili
man Hii life ni tricky,Sheng
hey Uko aje buda bro,Sheng
bro Wacha tuende base boss,Sheng
hey He is my friend,English
yo Wacha tuende base boss,Sheng
yo Khuli omundu mulayi man,Luhya
man Naenda nyumbani,Swahili
yo Niko soko leo boss,Swahili
bro This is a good day,English
bro Tuko street vibaya boss,Sheng
bro Niko soko leo,Swahili
bro Khuli omundu mulayi man,Luhya
bro Hii manzi ni fiti bro,Sheng
Hii manzi ni fiti,Sheng
yo He is my friend boss,English
Ndi khwitsa eshikulu,Luhya
bro Wabula shani bro,Luhya
bro He is my friend,English
hey Hii life ni tricky man,Sheng
yo Leo ni siku nzuri bro,Swahili
